Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.000605213832322974,7.755741117345847e-07,1.0000000000090934,0.0012814877491443347,4440000
0.01,0.009840245361855663,1.2610153879792392e-05,1.0000000000090934,0.0012814877491443347,4440000
0.02,0.026146315489951565,3.3506182985635685e-05,1.0000000000090934,0.0012814877491443347,4440000
0.03,0.04110414635169027,5.2674459988726875e-05,1.0000000000090934,0.0012814877491443347,4440000
0.04,0.043289018374507986,5.547434671941598e-05,1.0000000000090934,0.0012814877491443347,4440000
0.05,0.047643291025719875,6.105429377837824e-05,1.0000000000090934,0.0012814877491443347,4440000
0.06,0.050421191788279335,6.46141395739369e-05,1.0000000000090934,0.0012814877491443347,4440000
0.07,0.0527725161638012,6.762733295543262e-05,1.0000000000090934,0.0012814877491443347,4440000
0.08,0.055289108397397126,7.085231507237758e-05,1.0000000000090934,0.0012814877491443347,4440000
0.09,0.05610550110225658,7.189851232214578e-05,1.0000000000090934,0.0012814877491443347,4440000
0.1,0.058587642767224384,7.507934645744274e-05,1.0000000000090934,0.0012814877491443347,4440000
0.11,0.059373482677810424,7.608639067564742e-05,1.0000000000090934,0.0012814877491443347,4440000
0.12,0.06264005765930691,8.027246649609656e-05,1.0000000000090934,0.0012814877491443347,4440000
0.13,0.06537295736141391,8.377464398398687e-05,1.0000000000090934,0.0012814877491443347,4440000
0.14,0.06848470055875328,8.776230476986049e-05,1.0000000000090934,0.0012814877491443347,4440000
0.15,0.07781152530580317,9.971451642162114e-05,1.0000000000090934,0.0012814877491443347,4440000
