Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.006780406823404609,0.0003509132482854106,0.9999999999999997,0.051754010846978706,22272
0.01,0.02340929439484267,0.0012115248760308053,0.9999999999999997,0.051754010846978706,22272
0.02,0.034598299126722264,0.0017906007482913979,0.9999999999999997,0.051754010846978706,22272
0.03,0.04436243972302872,0.0022959341866240672,0.9999999999999997,0.051754010846978706,22272
0.04,0.04436243972302872,0.0022959341866240672,0.9999999999999997,0.051754010846978706,22272
0.05,0.04436243972302872,0.0022959341866240672,0.9999999999999997,0.051754010846978706,22272
0.06,0.0464045216811502,0.002401620118435106,0.9999999999999997,0.051754010846978706,22272
0.07,0.05741764211089828,0.002971593272615371,0.9999999999999997,0.051754010846978706,22272
0.08,0.0625172471415504,0.0032355182866870475,0.9999999999999997,0.051754010846978706,22272
0.09,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.1,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.11,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.12,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.13,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.14,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
0.15,0.0694882254999629,0.0035962943762623827,0.9999999999999997,0.051754010846978706,22272
