Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.00035461369926289334,8.853241739897145e-07,1.0000000000160922,0.002496587627127677,4440000
0.01,0.00035461369926289334,8.853241739897145e-07,1.0000000000160922,0.002496587627127677,4440000
0.02,0.00035461369926289334,8.853241739897145e-07,1.0000000000160922,0.002496587627127677,4440000
0.03,0.0006946214475594313,1.7341833115143927e-06,1.0000000000160922,0.002496587627127677,4440000
0.04,0.0008249176157879005,2.059479112975735e-06,1.0000000000160922,0.002496587627127677,4440000
0.05,0.0008249176157879005,2.059479112975735e-06,1.0000000000160922,0.002496587627127677,4440000
0.06,0.0013809900000613636,3.44776254734025e-06,1.0000000000160922,0.002496587627127677,4440000
0.07,0.0015917682776487615,3.9739889872322305e-06,1.0000000000160922,0.002496587627127677,4440000
0.08,0.0018071109149131455,4.511610751019535e-06,1.0000000000160922,0.002496587627127677,4440000
0.09,0.002049258791735102,5.1161541442284684e-06,1.0000000000160922,0.002496587627127677,4440000
0.1,0.0025457040409555746,6.355573210978617e-06,1.0000000000160922,0.002496587627127677,4440000
0.11,0.003291736776149422,8.218109307095794e-06,1.0000000000160922,0.002496587627127677,4440000
0.12,0.0038803744303812196,9.687694791512359e-06,1.0000000000160922,0.002496587627127677,4440000
0.13,0.004171319461568045,1.0414064556547662e-05,1.0000000000160922,0.002496587627127677,4440000
0.14,0.004304274449104856,1.074599833339698e-05,1.0000000000160922,0.002496587627127677,4440000
0.15,0.005331157617257666,1.3309702145512957e-05,1.0000000000160922,0.002496587627127677,4440000
