Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.010917688193594944,0.000566622389839611,1.0000000000000009,0.05189948456047958,22272
0.01,0.010917688193594944,0.000566622389839611,1.0000000000000009,0.05189948456047958,22272
0.02,0.025334990644888197,0.0013148729558142697,1.0000000000000009,0.05189948456047958,22272
0.03,0.09980779070587233,0.005179972892754998,1.0000000000000009,0.05189948456047958,22272
0.04,0.11895883445056762,0.006173902191899881,1.0000000000000009,0.05189948456047958,22272
0.05,0.2486341810914765,0.01290398584276457,1.0000000000000009,0.05189948456047958,22272
0.06,0.2691214089497927,0.013967262408684279,1.0000000000000009,0.05189948456047958,22272
0.07,0.3014254813961578,0.01564382711785502,1.0000000000000009,0.05189948456047958,22272
0.08,0.3590235289677749,0.018633136098511926,1.0000000000000009,0.05189948456047958,22272
0.09,0.42533258327875906,0.02207454183894485,1.0000000000000009,0.05189948456047958,22272
0.1,0.4370468935388076,0.022682508503422908,1.0000000000000009,0.05189948456047958,22272
0.11,0.5202864900298488,0.027002600656330256,1.0000000000000009,0.05189948456047958,22272
0.12,0.5282732799407601,0.027417110935999387,1.0000000000000009,0.05189948456047958,22272
0.13,0.5423115033434054,0.028145687494741542,1.0000000000000009,0.05189948456047958,22272
0.14,0.5555826599517206,0.028834453682234504,1.0000000000000009,0.05189948456047958,22272
0.15,0.5876380112115922,0.030498109890026957,1.0000000000000009,0.05189948456047958,22272
