Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.029580336841471818,0.0014454095517223813,1.0000000000000036,0.04886386383862634,10240
0.01,0.05911318037281292,0.0028884983968052898,1.0000000000000036,0.04886386383862634,10240
0.02,0.15082729183801677,0.00737000425152161,1.0000000000000036,0.04886386383862634,10240
0.03,0.15082729183801677,0.00737000425152161,1.0000000000000036,0.04886386383862634,10240
0.04,0.16353875720792296,0.00799113556454612,1.0000000000000036,0.04886386383862634,10240
0.05,0.16353875720792296,0.00799113556454612,1.0000000000000036,0.04886386383862634,10240
0.06,0.16353875720792296,0.00799113556454612,1.0000000000000036,0.04886386383862634,10240
0.07,0.16353875720792296,0.00799113556454612,1.0000000000000036,0.04886386383862634,10240
0.08,0.16353875720792296,0.00799113556454612,1.0000000000000036,0.04886386383862634,10240
0.09,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.1,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.11,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.12,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.13,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.14,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
0.15,0.16539022212402613,0.008081605294108578,1.0000000000000036,0.04886386383862634,10240
