Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.018121739712156772,0.00135745664178102,0.9999999999999999,0.07490763377814023,5120
0.01,0.018121739712156772,0.00135745664178102,0.9999999999999999,0.07490763377814023,5120
0.02,0.018121739712156772,0.00135745664178102,0.9999999999999999,0.07490763377814023,5120
0.03,0.018121739712156772,0.00135745664178102,0.9999999999999999,0.07490763377814023,5120
0.04,0.018121739712156772,0.00135745664178102,0.9999999999999999,0.07490763377814023,5120
0.05,0.04475201673268528,0.0033522676802451926,0.9999999999999999,0.07490763377814023,5120
0.06,0.06689597034295676,0.005011018847683535,0.9999999999999999,0.07490763377814023,5120
0.07,0.07164604158346143,0.005366835444587335,0.9999999999999999,0.07490763377814023,5120
0.08,0.08442458828809558,0.006324046141354931,0.9999999999999999,0.07490763377814023,5120
0.09,0.08442458828809558,0.006324046141354931,0.9999999999999999,0.07490763377814023,5120
0.1,0.11398610354989623,0.008538429300512797,0.9999999999999999,0.07490763377814023,5120
0.11,0.13226532280022602,0.009907682361866831,0.9999999999999999,0.07490763377814023,5120
0.12,0.1907602374740759,0.014289398008139139,0.9999999999999999,0.07490763377814023,5120
0.13,0.1907602374740759,0.014289398008139139,0.9999999999999999,0.07490763377814023,5120
0.14,0.21522202766018042,0.016121772828957562,0.9999999999999999,0.07490763377814023,5120
0.15,0.21522202766018042,0.016121772828957562,0.9999999999999999,0.07490763377814023,5120
