Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.01114769055938651,6.79308874199002e-06,1.0000000000000244,0.0006093718430558825,663552
0.01,0.166002203121738,0.00010115706846763046,1.0000000000000244,0.0006093718430558825,663552
0.02,0.32354398947462415,0.00019715859717580478,1.0000000000000244,0.0006093718430558825,663552
0.03,0.4185941903479751,0.0002550795132648305,1.0000000000000244,0.0006093718430558825,663552
0.04,0.4757269299615534,0.00028989459610198853,1.0000000000000244,0.0006093718430558825,663552
0.05,0.5624605592520877,0.0003427476276376871,1.0000000000000244,0.0006093718430558825,663552
0.06,0.5711568763992833,0.00034804691844547215,1.0000000000000244,0.0006093718430558825,663552
0.07,0.5959414333603671,0.0003631499296001713,1.0000000000000244,0.0006093718430558825,663552
0.08,0.6140450232235622,0.0003741817475210343,1.0000000000000244,0.0006093718430558825,663552
0.09,0.6213342029437323,0.00037862356840147993,1.0000000000000244,0.0006093718430558825,663552
0.1,0.640174989263819,0.00039010461308597316,1.0000000000000244,0.0006093718430558825,663552
0.11,0.640174989263819,0.00039010461308597316,1.0000000000000244,0.0006093718430558825,663552
0.12,0.6469511222535315,0.00039423379773470606,1.0000000000000244,0.0006093718430558825,663552
0.13,0.6469511222535315,0.00039423379773470606,1.0000000000000244,0.0006093718430558825,663552
0.14,0.6469511222535315,0.00039423379773470606,1.0000000000000244,0.0006093718430558825,663552
0.15,0.6614537487958667,0.00040307128999996004,1.0000000000000244,0.0006093718430558825,663552
