Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.0053025360786780554,8.256597465139535e-06,0.999999999998213,0.0015571034958800204,663552
0.01,0.009842891153973047,1.532640022541796e-05,0.999999999998213,0.0015571034958800204,663552
0.02,0.014904224414601168,2.320741993935583e-05,0.999999999998213,0.0015571034958800204,663552
0.03,0.014904224414601168,2.320741993935583e-05,0.999999999998213,0.0015571034958800204,663552
0.04,0.021383004152115692,3.329555051767634e-05,0.999999999998213,0.0015571034958800204,663552
0.05,0.021383004152115692,3.329555051767634e-05,0.999999999998213,0.0015571034958800204,663552
0.06,0.03064243989097694,4.7713450276533584e-05,0.999999999998213,0.0015571034958800204,663552
0.07,0.05034459516898508,7.839174513629106e-05,0.999999999998213,0.0015571034958800204,663552
0.08,0.06455690848386715,0.0001005217878834361,0.999999999998213,0.0015571034958800204,663552
0.09,0.08027643909966617,0.00012499872395888974,0.999999999998213,0.0015571034958800204,663552
0.1,0.08938362194256541,0.0001391795502011867,0.999999999998213,0.0015571034958800204,663552
0.11,0.12295987435273711,0.00019146125020761502,0.999999999998213,0.0015571034958800204,663552
0.12,0.16618849390913706,0.0002587726848409528,0.999999999998213,0.0015571034958800204,663552
0.13,0.1856013078666029,0.0002890004453189913,0.999999999998213,0.0015571034958800204,663552
0.14,0.2130517552217193,0.0003317436328591135,0.999999999998213,0.0015571034958800204,663552
0.15,0.2657053523432334,0.00041373073300768126,0.999999999998213,0.0015571034958800204,663552
